Driver_ID,Position,First_Name,Last_Name,Nationality,Team,Year
13,1,Lewis,Hamilton,GBR,Mercedes,2020
5,2,Valtteri,Bottas,FIN,Mercedes,2020
34,3,Max,Verstappen,NED,Red Bull Racing,2020
25,4,Sergio,Perez,MEX,Racing Point,2020
28,5,Daniel,Ricciardo,AUS,Renault,2020
30,6,Carlos,Sainz,ESP,McLaren,2020
2,7,Alexander,Albon,THA,Red Bull Racing,2020
19,8,Charles,Leclerc,MON,Ferrari,2020
23,9,Lando,Norris,GBR,McLaren,2020
10,10,Pierre,Gasly,FRA,AlphaTauri,2020
32,11,Lance,Stroll,CAN,Racing Point,2020
24,12,Esteban,Ocon,FRA,Renault,2020
35,13,Sebastian,Vettel,GER,Ferrari,2020
16,14,Daniil,Kvyat,RAF,AlphaTauri,2020
14,15,Nico,Hülkenberg,GER,Racing Point,2020
27,16,Kimi,Räikkönen,FIN,Alpha Romeo Racing,2020
11,17,Antonio,Giovinazzi,ITA,Alpha Romeo Racing,2020
29,18,George,Russell,GBR,Williams,2020
12,19,Romain,Grosjean,FRA,Haas,2020
20,20,Kevin,Magnussen,DEN,Haas,2020
17,21,Nicholas,Latifi,CAN,Williams,2020
1,22,Jack,Aitken,GBR,Williams,2020
9,23,Pietro,Fittipaldi,BRA,Haas,2020
