Driver_ID,Position,First_Name,Last_Name,Nationality,Team,Team_ID,DriverPoints,Year
13,1,Lewis,Hamilton,GBR,Mercedes,1,347,2020
5,2,Valtteri,Bottas,FIN,Mercedes,1,223,2020
34,3,Max,Verstappen,NED,Red Bull Racing,2,214,2020
25,4,Sergio,Perez,MEX,Racing Point,4,125,2020
28,5,Daniel,Ricciardo,AUS,Renault,5,119,2020
30,6,Carlos,Sainz,ESP,McLaren,3,105,2020
2,7,Alexander,Albon,THA,Red Bull Racing,2,105,2020
19,8,Charles,Leclerc,MON,Ferrari,6,98,2020
23,9,Lando,Norris,GBR,McLaren,3,97,2020
10,10,Pierre,Gasly,FRA,AlphaTauri,7,75,2020
32,11,Lance,Stroll,CAN,Racing Point,4,75,2020
24,12,Esteban,Ocon,FRA,Renault,5,62,2020
35,13,Sebastian,Vettel,GER,Ferrari,6,33,2020
16,14,Daniil,Kvyat,RAF,AlphaTauri,7,32,2020
14,15,Nico,Hülkenberg,GER,Racing Point,4,10,2020
27,16,Kimi,Räikkönen,FIN,Alfa Romeo Racing,8,4,2020
11,17,Antonio,Giovinazzi,ITA,Alfa Romeo Racing,8,4,2020
29,18,George,Russell,GBR,Williams,10,3,2020
12,19,Romain,Grosjean,FRA,Haas,9,2,2020
20,20,Kevin,Magnussen,DEN,Haas,9,1,2020
17,21,Nicholas,Latifi,CAN,Williams,10,0,2020
1,22,Jack,Aitken,GBR,Williams,10,0,2020
9,23,Pietro,Fittipaldi,BRA,Haas,9,0,2020
